Bowler Type,Variation,Length,Pitch,Phase,Shot,Dot,1,2,3,4,6,Wicket,Extra
Fast,Outswing,Hard,Green,PowerPlay,Drive,42.85,19.05,6.67,0.0,14.29,2.86,12.38,1.9
Fast,Outswing,Hard,Green,PowerPlay,Cut,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Pull,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Leg Glance,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Flick,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Sweep,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Switch hit,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,PowerPlay,Slog,34.78,8.7,2.61,0.0,17.39,17.39,17.39,1.74
Fast,Outswing,Hard,Green,PowerPlay,Loft,49.02,14.71,4.9,0.0,9.8,4.9,14.71,1.96
Fast,Outswing,Hard,Green,Middle Phase,Drive,48.54,19.42,6.8,0.0,9.71,0.97,12.62,1.94
Fast,Outswing,Hard,Green,Middle Phase,Cut,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Pull,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Leg Glance,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Flick,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Sweep,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Switch hit,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Middle Phase,Slog,39.83,8.85,2.65,0.0,13.27,15.93,17.7,1.77
Fast,Outswing,Hard,Green,Middle Phase,Loft,55.0,15.0,5.0,0.0,5.0,3.0,15.0,2.0
Fast,Outswing,Hard,Green,Death,Drive,29.67,16.95,5.93,0.0,16.95,13.56,15.25,1.69
Fast,Outswing,Hard,Green,Death,Cut,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Pull,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Leg Glance,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Flick,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Sweep,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Switch hit,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Green,Death,Slog,23.45,7.81,2.34,0.0,19.53,25.78,19.53,1.56
Fast,Outswing,Hard,Green,Death,Loft,34.79,13.04,4.35,0.0,13.04,15.65,17.39,1.74
Fast,Outswing,Hard,Dry,PowerPlay,Drive,38.09,19.05,6.67,0.0,19.05,7.62,7.62,1.9
Fast,Outswing,Hard,Dry,PowerPlay,Cut,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Pull,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Leg Glance,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Flick,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Sweep,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Switch hit,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,PowerPlay,Slog,30.43,8.7,2.61,0.0,21.74,21.74,13.04,1.74
Fast,Outswing,Hard,Dry,PowerPlay,Loft,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dry,Middle Phase,Drive,43.68,19.42,6.8,0.0,14.56,5.83,7.77,1.94
Fast,Outswing,Hard,Dry,Middle Phase,Cut,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Pull,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Leg Glance,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Flick,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Sweep,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Switch hit,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Middle Phase,Slog,35.41,8.85,2.65,0.0,17.7,20.35,13.27,1.77
Fast,Outswing,Hard,Dry,Middle Phase,Loft,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dry,Death,Drive,25.42,16.95,5.93,0.0,21.19,17.8,11.02,1.69
Fast,Outswing,Hard,Dry,Death,Cut,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Pull,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Leg Glance,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Flick,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Sweep,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Switch hit,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dry,Death,Slog,19.54,7.81,2.34,0.0,23.44,29.69,15.62,1.56
Fast,Outswing,Hard,Dry,Death,Loft,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
